roll_name,det_id,region,ring,station,sector,layer,subsector,roll,area,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
W-2_RB1in_S06_Forward,637633165,0,-2,1,6,1,1,3,25791.2,-428.553,85.0743,-529.5,-325.553,263.476,-529.5,-325.553,263.476,-654.7,-428.553,85.0743,-654.7
W-2_RB1out_S06_Backward,637569677,0,-2,1,6,2,1,1,24081.4,-353.614,284.873,-412,-456.614,106.471,-412,-456.614,106.471,-528.9,-353.614,284.873,-528.9
W-2_RB1out_S06_Forward,637635213,0,-2,1,6,2,1,3,25791.2,-353.614,284.873,-529.5,-456.614,106.471,-529.5,-456.614,106.471,-654.7,-353.614,284.873,-654.7
W-2_RB1in_S07_Backward,637567757,0,-2,1,7,1,1,1,24081.4,-413.675,-140.6,-412,-413.675,65.4,-412,-413.675,65.4,-528.9,-413.675,-140.6,-528.9
W-2_RB1in_S07_Forward,637633293,0,-2,1,7,1,1,3,25791.2,-413.675,-140.6,-529.5,-413.675,65.4,-529.5,-413.675,65.4,-654.7,-413.675,-140.6,-654.7
W-2_RB1out_S07_Backward,637569805,0,-2,1,7,2,1,1,24081.4,-448.675,69.9,-412,-448.675,-136.1,-412,-448.675,-136.1,-528.9,-448.675,69.9,-528.9
W-2_RB1out_S07_Forward,637635341,0,-2,1,7,2,1,3,25791.2,-448.675,69.9,-529.5,-448.675,-136.1,-529.5,-448.675,-136.1,-654.7,-448.675,69.9,-654.7
W-2_RB1in_S08_Backward,637567885,0,-2,1,8,1,1,1,24081.4,-287.953,-328.601,-412,-390.953,-150.199,-412,-390.953,-150.199,-528.9,-287.953,-328.601,-528.9
W-2_RB1in_S08_Forward,637633421,0,-2,1,8,1,1,3,25791.2,-287.953,-328.601,-529.5,-390.953,-150.199,-529.5,-390.953,-150.199,-654.7,-287.953,-328.601,-654.7
W-2_RB1out_S08_Backward,637569933,0,-2,1,8,2,1,1,24081.4,-423.514,-163.802,-412,-320.514,-342.204,-412,-320.514,-342.204,-528.9,-423.514,-163.802,-528.9
W-2_RB1out_S08_Forward,637635469,0,-2,1,8,2,1,3,25791.2,-423.514,-163.802,-529.5,-320.514,-342.204,-529.5,-320.514,-342.204,-654.7,-423.514,-163.802,-654.7
W-2_RB1in_S09_Backward,637568013,0,-2,1,9,1,1,1,24081.4,-85.0743,-428.553,-412,-263.476,-325.553,-412,-263.476,-325.553,-528.9,-85.0743,-428.553,-528.9
W-2_RB1in_S09_Forward,637633549,0,-2,1,9,1,1,3,25791.2,-85.0743,-428.553,-529.5,-263.476,-325.553,-529.5,-263.476,-325.553,-654.7,-85.0743,-428.553,-654.7
W-2_RB1out_S09_Backward,637570061,0,-2,1,9,2,1,1,24081.4,-284.873,-353.614,-412,-106.471,-456.614,-412,-106.471,-456.614,-528.9,-284.873,-353.614,-528.9
W-2_RB1out_S09_Forward,637635597,0,-2,1,9,2,1,3,25791.2,-284.873,-353.614,-529.5,-106.471,-456.614,-529.5,-106.471,-456.614,-654.7,-284.873,-353.614,-654.7
W-2_RB1in_S10_Backward,637568141,0,-2,1,10,1,1,1,24081.4,140.6,-413.675,-412,-65.4,-413.675,-412,-65.4,-413.675,-528.9,140.6,-413.675,-528.9
W-2_RB1in_S10_Forward,637633677,0,-2,1,10,1,1,3,25791.2,140.6,-413.675,-529.5,-65.4,-413.675,-529.5,-65.4,-413.675,-654.7,140.6,-413.675,-654.7
W-2_RB1out_S10_Backward,637570189,0,-2,1,10,2,1,1,24081.4,-69.9,-448.675,-412,136.1,-448.675,-412,136.1,-448.675,-528.9,-69.9,-448.675,-528.9
W-2_RB1out_S10_Forward,637635725,0,-2,1,10,2,1,3,25791.2,-69.9,-448.675,-529.5,136.1,-448.675,-529.5,136.1,-448.675,-654.7,-69.9,-448.675,-654.7
W-2_RB1in_S11_Backward,637568269,0,-2,1,11,1,1,1,24081.4,328.601,-287.953,-412,150.199,-390.953,-412,150.199,-390.953,-528.9,328.601,-287.953,-528.9
W-2_RB1in_S11_Forward,637633805,0,-2,1,11,1,1,3,25791.2,328.601,-287.953,-529.5,150.199,-390.953,-529.5,150.199,-390.953,-654.7,328.601,-287.953,-654.7
W-2_RB1out_S11_Backward,637570317,0,-2,1,11,2,1,1,24081.4,163.802,-423.514,-412,342.204,-320.514,-412,342.204,-320.514,-528.9,163.802,-423.514,-528.9
W-2_RB1out_S11_Forward,637635853,0,-2,1,11,2,1,3,25791.2,163.802,-423.514,-529.5,342.204,-320.514,-529.5,342.204,-320.514,-654.7,163.802,-423.514,-654.7
W-2_RB1in_S12_Backward,637568397,0,-2,1,12,1,1,1,24081.4,428.553,-85.0743,-412,325.553,-263.476,-412,325.553,-263.476,-528.9,428.553,-85.0743,-528.9
W-2_RB1in_S12_Forward,637633933,0,-2,1,12,1,1,3,25791.2,428.553,-85.0743,-529.5,325.553,-263.476,-529.5,325.553,-263.476,-654.7,428.553,-85.0743,-654.7
W-2_RB1out_S12_Backward,637570445,0,-2,1,12,2,1,1,24081.4,353.614,-284.873,-412,456.614,-106.471,-412,456.614,-106.471,-528.9,353.614,-284.873,-528.9
W-2_RB1out_S12_Forward,637635981,0,-2,1,12,2,1,3,25791.2,353.614,-284.873,-529.5,456.614,-106.471,-529.5,456.614,-106.471,-654.7,353.614,-284.873,-654.7
W-2_RB2in_S01_Backward,637567021,0,-2,2,1,1,1,1,28991.2,494.975,106,-412,494.975,-142,-412,494.975,-142,-528.9,494.975,106,-528.9
W-2_RB2in_S01_Forward,637632557,0,-2,2,1,1,1,3,31049.6,494.975,106,-529.5,494.975,-142,-529.5,494.975,-142,-654.7,494.975,106,-654.7
W-2_RB2out_S01_Backward,637569069,0,-2,2,1,2,1,1,19071.2,529.975,-142.7,-412,529.975,105.3,-412,529.975,105.3,-488.9,529.975,-142.7,-488.9
W-2_RB2out_S01_Middle,637601837,0,-2,2,1,2,1,2,19691.2,529.975,-142.7,-489.5,529.975,105.3,-489.5,529.975,105.3,-568.9,529.975,-142.7,-568.9
W-2_RB2out_S01_Forward,637634605,0,-2,2,1,2,1,3,21129.6,529.975,-142.7,-569.5,529.975,105.3,-569.5,529.975,105.3,-654.7,529.975,-142.7,-654.7
W-2_RB2in_S02_Backward,637567149,0,-2,2,2,1,1,1,28991.2,375.661,339.286,-412,499.661,124.512,-412,499.661,124.512,-528.9,375.661,339.286,-528.9
W-2_RB2in_S02_Forward,637632685,0,-2,2,2,1,1,3,31049.6,375.661,339.286,-529.5,499.661,124.512,-529.5,499.661,124.512,-654.7,375.661,339.286,-654.7
W-2_RB2out_S02_Backward,637569197,0,-2,2,2,2,1,1,19071.2,530.322,141.406,-412,406.322,356.18,-412,406.322,356.18,-488.9,530.322,141.406,-488.9
W-2_RB2out_S02_Middle,637601965,0,-2,2,2,2,1,2,19691.2,530.322,141.406,-489.5,406.322,356.18,-489.5,406.322,356.18,-568.9,530.322,141.406,-568.9
W-2_RB2out_S02_Forward,637634733,0,-2,2,2,2,1,3,21129.6,530.322,141.406,-569.5,406.322,356.18,-569.5,406.322,356.18,-654.7,530.322,141.406,-654.7
W-2_RB2in_S03_Backward,637567277,0,-2,2,3,1,1,1,28991.2,155.689,481.661,-412,370.463,357.661,-412,370.463,357.661,-528.9,155.689,481.661,-528.9
W-2_RB2in_S03_Forward,637632813,0,-2,2,3,1,1,3,31049.6,155.689,481.661,-529.5,370.463,357.661,-529.5,370.463,357.661,-654.7,155.689,481.661,-654.7
W-2_RB2out_S03_Backward,637569325,0,-2,2,3,2,1,1,19071.2,388.569,387.622,-412,173.795,511.622,-412,173.795,511.622,-488.9,388.569,387.622,-488.9
W-2_RB2out_S03_Middle,637602093,0,-2,2,3,2,1,2,19691.2,388.569,387.622,-489.5,173.795,511.622,-489.5,173.795,511.622,-568.9,388.569,387.622,-568.9
W-2_RB2out_S03_Forward,637634861,0,-2,2,3,2,1,3,21129.6,388.569,387.622,-569.5,173.795,511.622,-569.5,173.795,511.622,-654.7,388.569,387.622,-654.7
W-2_RB2in_S04_Backward,637567405,0,-2,2,4,1,1,1,28991.2,-106,494.975,-412,142,494.975,-412,142,494.975,-528.9,-106,494.975,-528.9
W-2_RB2in_S04_Forward,637632941,0,-2,2,4,1,1,3,31049.6,-106,494.975,-529.5,142,494.975,-529.5,142,494.975,-654.7,-106,494.975,-654.7
W-2_RB2out_S04_Backward,637569453,0,-2,2,4,2,1,1,19071.2,142.7,529.975,-412,-105.3,529.975,-412,-105.3,529.975,-488.9,142.7,529.975,-488.9
W-2_RB2out_S04_Middle,637602221,0,-2,2,4,2,1,2,19691.2,142.7,529.975,-489.5,-105.3,529.975,-489.5,-105.3,529.975,-568.9,142.7,529.975,-568.9
W-2_RB2out_S04_Forward,637634989,0,-2,2,4,2,1,3,21129.6,142.7,529.975,-569.5,-105.3,529.975,-569.5,-105.3,529.975,-654.7,142.7,529.975,-654.7
W-2_RB2in_S05_Backward,637567533,0,-2,2,5,1,1,1,28991.2,-339.286,375.661,-412,-124.512,499.661,-412,-124.512,499.661,-528.9,-339.286,375.661,-528.9
W-2_RB2in_S05_Forward,637633069,0,-2,2,5,1,1,3,31049.6,-339.286,375.661,-529.5,-124.512,499.661,-529.5,-124.512,499.661,-654.7,-339.286,375.661,-654.7
W-2_RB2out_S05_Backward,637569581,0,-2,2,5,2,1,1,19071.2,-141.406,530.322,-412,-356.18,406.322,-412,-356.18,406.322,-488.9,-141.406,530.322,-488.9
W-2_RB2out_S05_Middle,637602349,0,-2,2,5,2,1,2,19691.2,-141.406,530.322,-489.5,-356.18,406.322,-489.5,-356.18,406.322,-568.9,-141.406,530.322,-568.9
W-2_RB2out_S05_Forward,637635117,0,-2,2,5,2,1,3,21129.6,-141.406,530.322,-569.5,-356.18,406.322,-569.5,-356.18,406.322,-654.7,-141.406,530.322,-654.7
W-2_RB2in_S06_Backward,637567661,0,-2,2,6,1,1,1,28991.2,-481.661,155.689,-412,-357.661,370.463,-412,-357.661,370.463,-528.9,-481.661,155.689,-528.9
W-2_RB2in_S06_Forward,637633197,0,-2,2,6,1,1,3,31049.6,-481.661,155.689,-529.5,-357.661,370.463,-529.5,-357.661,370.463,-654.7,-481.661,155.689,-654.7
W-2_RB2out_S06_Backward,637569709,0,-2,2,6,2,1,1,19071.2,-387.622,388.569,-412,-511.622,173.795,-412,-511.622,173.795,-488.9,-387.622,388.569,-488.9
W-2_RB2out_S06_Middle,637602477,0,-2,2,6,2,1,2,19691.2,-387.622,388.569,-489.5,-511.622,173.795,-489.5,-511.622,173.795,-568.9,-387.622,388.569,-568.9
W-2_RB2out_S06_Forward,637635245,0,-2,2,6,2,1,3,21129.6,-387.622,388.569,-569.5,-511.622,173.795,-569.5,-511.622,173.795,-654.7,-387.622,388.569,-654.7
W-2_RB2in_S07_Backward,637567789,0,-2,2,7,1,1,1,28991.2,-494.975,-106,-412,-494.975,142,-412,-494.975,142,-528.9,-494.975,-106,-528.9
W-2_RB2in_S07_Forward,637633325,0,-2,2,7,1,1,3,31049.6,-494.975,-106,-529.5,-494.975,142,-529.5,-494.975,142,-654.7,-494.975,-106,-654.7
W-2_RB2out_S07_Backward,637569837,0,-2,2,7,2,1,1,19071.2,-529.975,142.7,-412,-529.975,-105.3,-412,-529.975,-105.3,-488.9,-529.975,142.7,-488.9
W-2_RB2out_S07_Middle,637602605,0,-2,2,7,2,1,2,19691.2,-529.975,142.7,-489.5,-529.975,-105.3,-489.5,-529.975,-105.3,-568.9,-529.975,142.7,-568.9
W-2_RB2out_S07_Forward,637635373,0,-2,2,7,2,1,3,21129.6,-529.975,142.7,-569.5,-529.975,-105.3,-569.5,-529.975,-105.3,-654.7,-529.975,142.7,-654.7
W-2_RB2in_S08_Backward,637567917,0,-2,2,8,1,1,1,28991.2,-375.661,-339.286,-412,-499.661,-124.512,-412,-499.661,-124.512,-528.9,-375.661,-339.286,-528.9
W-2_RB2in_S08_Forward,637633453,0,-2,2,8,1,1,3,31049.6,-375.661,-339.286,-529.5,-499.661,-124.512,-529.5,-499.661,-124.512,-654.7,-375.661,-339.286,-654.7
W-2_RB2out_S08_Backward,637569965,0,-2,2,8,2,1,1,19071.2,-530.322,-141.406,-412,-406.322,-356.18,-412,-406.322,-356.18,-488.9,-530.322,-141.406,-488.9
W-2_RB2out_S08_Middle,637602733,0,-2,2,8,2,1,2,19691.2,-530.322,-141.406,-489.5,-406.322,-356.18,-489.5,-406.322,-356.18,-568.9,-530.322,-141.406,-568.9
W-2_RB2out_S08_Forward,637635501,0,-2,2,8,2,1,3,21129.6,-530.322,-141.406,-569.5,-406.322,-356.18,-569.5,-406.322,-356.18,-654.7,-530.322,-141.406,-654.7
W-2_RB2in_S09_Backward,637568045,0,-2,2,9,1,1,1,28991.2,-155.689,-481.661,-412,-370.463,-357.661,-412,-370.463,-357.661,-528.9,-155.689,-481.661,-528.9
W-2_RB2in_S09_Forward,637633581,0,-2,2,9,1,1,3,31049.6,-155.689,-481.661,-529.5,-370.463,-357.661,-529.5,-370.463,-357.661,-654.7,-155.689,-481.661,-654.7
W-2_RB2out_S09_Backward,637570093,0,-2,2,9,2,1,1,19071.2,-388.569,-387.622,-412,-173.795,-511.622,-412,-173.795,-511.622,-488.9,-388.569,-387.622,-488.9
W-2_RB2out_S09_Middle,637602861,0,-2,2,9,2,1,2,19691.2,-388.569,-387.622,-489.5,-173.795,-511.622,-489.5,-173.795,-511.622,-568.9,-388.569,-387.622,-568.9
W-2_RB2out_S09_Forward,637635629,0,-2,2,9,2,1,3,21129.6,-388.569,-387.622,-569.5,-173.795,-511.622,-569.5,-173.795,-511.622,-654.7,-388.569,-387.622,-654.7
W-2_RB2in_S10_Backward,637568173,0,-2,2,10,1,1,1,28991.2,106,-494.975,-412,-142,-494.975,-412,-142,-494.975,-528.9,106,-494.975,-528.9
W-2_RB2in_S10_Forward,637633709,0,-2,2,10,1,1,3,31049.6,106,-494.975,-529.5,-142,-494.975,-529.5,-142,-494.975,-654.7,106,-494.975,-654.7
W-2_RB2out_S10_Backward,637570221,0,-2,2,10,2,1,1,19071.2,-142.7,-529.975,-412,105.3,-529.975,-412,105.3,-529.975,-488.9,-142.7,-529.975,-488.9
W-2_RB2out_S10_Middle,637602989,0,-2,2,10,2,1,2,19691.2,-142.7,-529.975,-489.5,105.3,-529.975,-489.5,105.3,-529.975,-568.9,-142.7,-529.975,-568.9
W-2_RB2out_S10_Forward,637635757,0,-2,2,10,2,1,3,21129.6,-142.7,-529.975,-569.5,105.3,-529.975,-569.5,105.3,-529.975,-654.7,-142.7,-529.975,-654.7
W-2_RB2in_S11_Backward,637568301,0,-2,2,11,1,1,1,28991.2,339.286,-375.661,-412,124.512,-499.661,-412,124.512,-499.661,-528.9,339.286,-375.661,-528.9
W-2_RB2in_S11_Forward,637633837,0,-2,2,11,1,1,3,31049.6,339.286,-375.661,-529.5,124.512,-499.661,-529.5,124.512,-499.661,-654.7,339.286,-375.661,-654.7
W-2_RB2out_S11_Backward,637570349,0,-2,2,11,2,1,1,19071.2,141.406,-530.322,-412,356.18,-406.322,-412,356.18,-406.322,-488.9,141.406,-530.322,-488.9
W-2_RB2out_S11_Middle,637603117,0,-2,2,11,2,1,2,19691.2,141.406,-530.322,-489.5,356.18,-406.322,-489.5,356.18,-406.322,-568.9,141.406,-530.322,-568.9
W-2_RB2out_S11_Forward,637635885,0,-2,2,11,2,1,3,21129.6,141.406,-530.322,-569.5,356.18,-406.322,-569.5,356.18,-406.322,-654.7,141.406,-530.322,-654.7
W-2_RB2in_S12_Backward,637568429,0,-2,2,12,1,1,1,28991.2,481.661,-155.689,-412,357.661,-370.463,-412,357.661,-370.463,-528.9,481.661,-155.689,-528.9
W-2_RB2in_S12_Forward,637633965,0,-2,2,12,1,1,3,31049.6,481.661,-155.689,-529.5,357.661,-370.463,-529.5,357.661,-370.463,-654.7,481.661,-155.689,-654.7
W-2_RB2out_S12_Backward,637570477,0,-2,2,12,2,1,1,19071.2,387.622,-388.569,-412,511.622,-173.795,-412,511.622,-173.795,-488.9,387.622,-388.569,-488.9
W-2_RB2out_S12_Middle,637603245,0,-2,2,12,2,1,2,19691.2,387.622,-388.569,-489.5,511.622,-173.795,-489.5,511.622,-173.795,-568.9,387.622,-388.569,-568.9
W-2_RB2out_S12_Forward,637636013,0,-2,2,12,2,1,3,21129.6,387.622,-388.569,-569.5,511.622,-173.795,-569.5,511.622,-173.795,-654.7,387.622,-388.569,-654.7
W-2_RB3-_S01_Backward,637567053,0,-2,3,1,1,1,1,17301.2,602.15,17.4,-412,602.15,-130.6,-412,602.15,-130.6,-528.9,602.15,17.4,-528.9
W-2_RB3+_S01_Backward,637571149,0,-2,3,1,1,2,1,17301.2,602.15,167.4,-412,602.15,19.4,-412,602.15,19.4,-528.9,602.15,167.4,-528.9
W-2_RB3-_S01_Forward,637632589,0,-2,3,1,1,1,3,18529.6,602.15,17.4,-529.5,602.15,-130.6,-529.5,602.15,-130.6,-654.7,602.15,17.4,-654.7
W-2_RB3+_S01_Forward,637636685,0,-2,3,1,1,2,3,18529.6,602.15,167.4,-529.5,602.15,19.4,-529.5,602.15,19.4,-654.7,602.15,167.4,-654.7
W-2_RB3-_S02_Backward,637567181,0,-2,3,2,1,1,1,17301.2,512.777,316.144,-412,586.777,187.972,-412,586.777,187.972,-528.9,512.777,316.144,-528.9
W-2_RB3+_S02_Backward,637571277,0,-2,3,2,1,2,1,17301.2,437.777,446.048,-412,511.777,317.876,-412,511.777,317.876,-528.9,437.777,446.048,-528.9
W-2_RB3-_S02_Forward,637632717,0,-2,3,2,1,1,3,18529.6,512.777,316.144,-529.5,586.777,187.972,-529.5,586.777,187.972,-654.7,512.777,316.144,-654.7
W-2_RB3+_S02_Forward,637636813,0,-2,3,2,1,2,3,18529.6,437.777,446.048,-529.5,511.777,317.876,-529.5,511.777,317.876,-654.7,437.777,446.048,-654.7
W-2_RB3-_S03_Backward,637567309,0,-2,3,3,1,1,1,17301.2,286.006,530.177,-412,414.178,456.177,-412,414.178,456.177,-528.9,286.006,530.177,-528.9
W-2_RB3+_S03_Backward,637571405,0,-2,3,3,1,2,1,17301.2,156.102,605.177,-412,284.274,531.177,-412,284.274,531.177,-528.9,156.102,605.177,-528.9
W-2_RB3-_S03_Forward,637632845,0,-2,3,3,1,1,3,18529.6,286.006,530.177,-529.5,414.178,456.177,-529.5,414.178,456.177,-654.7,286.006,530.177,-654.7
W-2_RB3+_S03_Forward,637636941,0,-2,3,3,1,2,3,18529.6,156.102,605.177,-529.5,284.274,531.177,-529.5,284.274,531.177,-654.7,156.102,605.177,-654.7
W-2_RB3-_S04_Backward,637567437,0,-2,3,4,1,1,1,17301.2,-17.4,602.15,-412,130.6,602.15,-412,130.6,602.15,-528.9,-17.4,602.15,-528.9
W-2_RB3+_S04_Backward,637571533,0,-2,3,4,1,2,1,17301.2,-167.4,602.15,-412,-19.4,602.15,-412,-19.4,602.15,-528.9,-167.4,602.15,-528.9
W-2_RB3-_S04_Forward,637632973,0,-2,3,4,1,1,3,18529.6,-17.4,602.15,-529.5,130.6,602.15,-529.5,130.6,602.15,-654.7,-17.4,602.15,-654.7
W-2_RB3+_S04_Forward,637637069,0,-2,3,4,1,2,3,18529.6,-167.4,602.15,-529.5,-19.4,602.15,-529.5,-19.4,602.15,-654.7,-167.4,602.15,-654.7
W-2_RB3-_S05_Backward,637567565,0,-2,3,5,1,1,1,17301.2,-316.144,512.777,-412,-187.972,586.777,-412,-187.972,586.777,-528.9,-316.144,512.777,-528.9
W-2_RB3+_S05_Backward,637571661,0,-2,3,5,1,2,1,17301.2,-446.048,437.777,-412,-317.876,511.777,-412,-317.876,511.777,-528.9,-446.048,437.777,-528.9
W-2_RB3-_S05_Forward,637633101,0,-2,3,5,1,1,3,18529.6,-316.144,512.777,-529.5,-187.972,586.777,-529.5,-187.972,586.777,-654.7,-316.144,512.777,-654.7
W-2_RB3+_S05_Forward,637637197,0,-2,3,5,1,2,3,18529.6,-446.048,437.777,-529.5,-317.876,511.777,-529.5,-317.876,511.777,-654.7,-446.048,437.777,-654.7
W-2_RB3-_S06_Backward,637567693,0,-2,3,6,1,1,1,17301.2,-530.177,286.006,-412,-456.177,414.178,-412,-456.177,414.178,-528.9,-530.177,286.006,-528.9
W-2_RB3+_S06_Backward,637571789,0,-2,3,6,1,2,1,17301.2,-605.177,156.102,-412,-531.177,284.274,-412,-531.177,284.274,-528.9,-605.177,156.102,-528.9
W-2_RB3-_S06_Forward,637633229,0,-2,3,6,1,1,3,18529.6,-530.177,286.006,-529.5,-456.177,414.178,-529.5,-456.177,414.178,-654.7,-530.177,286.006,-654.7
W-2_RB3+_S06_Forward,637637325,0,-2,3,6,1,2,3,18529.6,-605.177,156.102,-529.5,-531.177,284.274,-529.5,-531.177,284.274,-654.7,-605.177,156.102,-654.7
W-2_RB3-_S07_Backward,637567821,0,-2,3,7,1,1,1,17301.2,-602.15,-17.4,-412,-602.15,130.6,-412,-602.15,130.6,-528.9,-602.15,-17.4,-528.9
W-2_RB3+_S07_Backward,637571917,0,-2,3,7,1,2,1,17301.2,-602.15,-167.4,-412,-602.15,-19.4,-412,-602.15,-19.4,-528.9,-602.15,-167.4,-528.9
W-2_RB3-_S07_Forward,637633357,0,-2,3,7,1,1,3,18529.6,-602.15,-17.4,-529.5,-602.15,130.6,-529.5,-602.15,130.6,-654.7,-602.15,-17.4,-654.7
W-2_RB3+_S07_Forward,637637453,0,-2,3,7,1,2,3,18529.6,-602.15,-167.4,-529.5,-602.15,-19.4,-529.5,-602.15,-19.4,-654.7,-602.15,-167.4,-654.7
W-2_RB3-_S08_Backward,637567949,0,-2,3,8,1,1,1,17301.2,-512.777,-316.144,-412,-586.777,-187.972,-412,-586.777,-187.972,-528.9,-512.777,-316.144,-528.9
W-2_RB3+_S08_Backward,637572045,0,-2,3,8,1,2,1,17301.2,-437.777,-446.048,-412,-511.777,-317.876,-412,-511.777,-317.876,-528.9,-437.777,-446.048,-528.9
W-2_RB3-_S08_Forward,637633485,0,-2,3,8,1,1,3,18529.6,-512.777,-316.144,-529.5,-586.777,-187.972,-529.5,-586.777,-187.972,-654.7,-512.777,-316.144,-654.7
W-2_RB3+_S08_Forward,637637581,0,-2,3,8,1,2,3,18529.6,-437.777,-446.048,-529.5,-511.777,-317.876,-529.5,-511.777,-317.876,-654.7,-437.777,-446.048,-654.7
W-2_RB3-_S09_Backward,637568077,0,-2,3,9,1,1,1,17301.2,-286.006,-530.177,-412,-414.178,-456.177,-412,-414.178,-456.177,-528.9,-286.006,-530.177,-528.9
W-2_RB3+_S09_Backward,637572173,0,-2,3,9,1,2,1,17301.2,-156.102,-605.177,-412,-284.274,-531.177,-412,-284.274,-531.177,-528.9,-156.102,-605.177,-528.9
W-2_RB3-_S09_Forward,637633613,0,-2,3,9,1,1,3,18529.6,-286.006,-530.177,-529.5,-414.178,-456.177,-529.5,-414.178,-456.177,-654.7,-286.006,-530.177,-654.7
W-2_RB3+_S09_Forward,637637709,0,-2,3,9,1,2,3,18529.6,-156.102,-605.177,-529.5,-284.274,-531.177,-529.5,-284.274,-531.177,-654.7,-156.102,-605.177,-654.7
W-2_RB3-_S10_Backward,637568205,0,-2,3,10,1,1,1,17301.2,17.4,-602.15,-412,-130.6,-602.15,-412,-130.6,-602.15,-528.9,17.4,-602.15,-528.9
W-2_RB3+_S10_Backward,637572301,0,-2,3,10,1,2,1,17301.2,167.4,-602.15,-412,19.4,-602.15,-412,19.4,-602.15,-528.9,167.4,-602.15,-528.9
W-2_RB3-_S10_Forward,637633741,0,-2,3,10,1,1,3,18529.6,17.4,-602.15,-529.5,-130.6,-602.15,-529.5,-130.6,-602.15,-654.7,17.4,-602.15,-654.7
