Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_BRIL.json -i ../LumiJSON/Cert_314472-318876_13TeV_PromptReco_Collisions18_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 316723:6711 | 05/22/18 13:38:48 | 64   | 64   | 9.898719094    | 9.687825215   |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 472.979447949  | 456.631648163 |
| 316766:6714 | 05/23/18 05:50:20 | 2149 | 2149 | 580.990461584  | 563.002898697 |
| 316876:6719 | 05/24/18 23:17:15 | 611  | 611  | 237.321698479  | 217.141849349 |
| 316877:6719 | 05/25/18 03:18:15 | 401  | 401  | 117.228244691  | 113.060693675 |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 38.726883732   | 36.693111975  |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 45.881428120   | 44.580522700  |
| 316944:6729 | 05/26/18 14:25:41 | 1791 | 1791 | 513.012817052  | 494.943969516 |
| 316985:6731 | 05/27/18 20:04:08 | 471  | 471  | 178.549578887  | 172.992243822 |
| 316993:6733 | 05/28/18 03:32:50 | 211  | 211  | 79.892558553   | 74.651058729  |
| 316994:6733 | 05/28/18 04:58:46 | 14   | 14   | 5.086370219    | 4.791125384   |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 192.622131745  | 186.899083227 |
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 8.348770877    | 7.870113797   |
| 317087:6738 | 05/28/18 23:14:11 | 741  | 741  | 253.711933203  | 243.937556265 |
| 317089:6738 | 05/29/18 04:46:51 | 1003 | 1003 | 222.737365383  | 214.264283608 |
| 317182:6741 | 05/30/18 09:15:46 | 1378 | 1378 | 423.590544454  | 407.857973816 |
| 317212:6744 | 05/31/18 02:42:17 | 140  | 140  | 54.374940174   | 51.233313018  |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 130.644997611  | 125.792532936 |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 69.303140008   | 66.848246985  |
| 317291:6749 | 06/01/18 02:53:28 | 805  | 805  | 288.204783428  | 278.408846174 |
| 317292:6749 | 06/01/18 08:08:05 | 330  | 330  | 88.063739072   | 85.410701138  |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 128.303081169  | 124.662277482 |
| 317319:6751 | 06/01/18 19:42:33 | 139  | 139  | 56.915033646   | 53.640451501  |
| 317320:6751 | 06/01/18 20:37:54 | 1826 | 1826 | 481.398751284  | 464.995015447 |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 15.974039812   | 13.660334061  |
| 317339:6752 | 06/02/18 11:06:14 | 176  | 176  | 73.759922509   | 70.521630415  |
| 317340:6752 | 06/02/18 12:17:48 | 418  | 418  | 148.282419691  | 141.013079168 |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 27.857723593   | 24.198979443  |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23.973596173   | 22.520846802  |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 3.500979676    | 2.720751998   |
| 317392:6757 | 06/04/18 03:27:44 | 1898 | 1898 | 507.974885736  | 493.201768883 |
| 317434:6759 | 06/04/18 22:48:32 | 210  | 210  | 81.685438370   | 78.482049320  |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 377.252234687  | 363.317906802 |
| 317438:6759 | 06/05/18 09:20:20 | 307  | 307  | 52.257888227   | 50.200472880  |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 27.131543666   | 25.812468143  |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 8.499122676    | 7.958468895   |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 166.446305783  | 161.034485035 |
| 317488:6761 | 06/05/18 23:26:30 | 844  | 844  | 188.215503964  | 182.386888837 |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 468.514831140  | 453.879310058 |
| 317591:6768 | 06/08/18 07:07:54 | 292  | 292  | 115.671352639  | 111.520791925 |
| 317626:6770 | 06/08/18 20:45:30 | 2006 | 2006 | 549.387468511  | 531.739768854 |
| 317640:6772 | 06/09/18 13:47:48 | 801  | 801  | 272.718004086  | 262.241275657 |
| 317641:6772 | 06/09/18 19:02:09 | 1390 | 1390 | 278.522053656  | 270.340653966 |
| 317648:6773 | 06/10/18 06:27:56 | 95   | 95   | 37.597019700   | 34.000056928  |
| 317649:6773 | 06/10/18 07:08:12 | 621  | 621  | 201.411519327  | 194.137397802 |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 266.509030604  | 258.125939437 |
| 317661:6774 | 06/10/18 21:56:59 | 1222 | 1222 | 389.159040646  | 377.225856546 |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 158.591239671  | 154.616104580 |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 122.766987928  | 118.235535427 |
| 317696:6778 | 06/12/18 00:00:42 | 645  | 645  | 238.804388838  | 229.680267847 |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 3.030242462    | 2.833525344   |
| 318820:6854 | 06/27/18 23:49:13 | 65   | 65   | 10.935422105   | 10.662269618  |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13.863340068   | 13.406398995  |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 95.143249162   | 91.774460780  |
| 318874:6860 | 06/28/18 17:39:38 | 320  | 320  | 104.252501724  | 99.595268271  |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 49.068898692   | 46.620528086  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 74    | 165  | 84157 | 84157 | 22591.771547103   | 21792.163646170  |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
